id,codexid,cote,element,theme
38374,47,E_12_06,matlalin,08.01.08
38375,47,E_12_07,xihuitl_4,06.01.04
38376,47,E_12_07,ce,06.01.01
38377,47,E_12_07,tecpatl,04.04.08
38378,47,E_12_07,matlalin,08.01.08
38379,47,E_12_08,xihuitl_4,06.01.04
38380,47,E_12_08,ce,06.01.01
38381,47,E_12_08,calli,05.01.01
38382,47,E_12_08,matlalin,08.01.08
38383,47,E_12_09,xihuitl_4,06.01.04
38384,47,E_12_09,ce,06.01.01
38385,47,E_12_09,tochtli,02.02.08
38386,47,E_12_09,matlalin,08.01.08
38387,47,E_12_10,xihuitl_4,06.01.04
38388,47,E_12_10,ce,06.01.01
38389,47,E_12_10,acatl,03.02.05
38390,47,E_12_10,matlalin,08.01.08
38391,47,E_12_11,xihuitl_4,06.01.04
38392,47,E_12_11,ce,06.01.01
38393,47,E_12_11,tecpatl,04.04.08
38394,47,E_12_11,matlalin,08.01.08
38395,47,E_12_12,xihuitl_4,06.01.04
38396,47,E_12_12,ce,06.01.01
38397,47,E_12_12,calli,05.01.01
38398,47,E_12_12,matlalin,08.01.08
38399,47,E_12_13,xihuitl_4,06.01.04
38400,47,E_12_13,ce,06.01.01
38401,47,E_12_13,tochtli,02.02.08
38402,47,E_12_13,matlalin,08.01.08
38403,47,E_12_14,xihuitl_4,06.01.04
38404,47,E_12_14,ce,06.01.01
38405,47,E_12_14,acatl,03.02.05
38406,47,E_12_14,matlalin,08.01.08
38407,47,E_12_15,xihuitl_4,06.01.04
38408,47,E_12_15,ce,06.01.01
38409,47,E_12_15,tecpatl,04.04.08
38410,47,E_12_15,matlalin,08.01.08
38411,47,E_12_16,20,09.00.20
38412,47,E_12_17,xiuhuitzolli,05.05.07
38413,47,E_12_18,tlacatl,01.01.01
38414,47,E_12_18,atl,04.05.01
